61889_2019.jpg : k=30, PSNR=33.87dB; k=10, PSNR=21.34dB; k=5, PSNR=18.16dB; k=3, PSNR=16.52dB; k=1, PSNR=14.10dB; 
61890_2019.jpg : k=30, PSNR=35.42dB; k=10, PSNR=22.13dB; k=5, PSNR=19.12dB; k=3, PSNR=17.42dB; k=1, PSNR=15.26dB; 
61891_2019.jpg : k=30, PSNR=35.97dB; k=10, PSNR=23.87dB; k=5, PSNR=20.86dB; k=3, PSNR=19.58dB; k=1, PSNR=17.55dB; 
61892_2019.jpg : k=30, PSNR=37.25dB; k=10, PSNR=23.97dB; k=5, PSNR=21.26dB; k=3, PSNR=19.80dB; k=1, PSNR=17.34dB; 
61893_2019.jpg : k=30, PSNR=34.21dB; k=10, PSNR=22.22dB; k=5, PSNR=18.79dB; k=3, PSNR=16.90dB; k=1, PSNR=14.33dB; 
61894_2019.jpg : k=30, PSNR=33.92dB; k=10, PSNR=22.23dB; k=5, PSNR=19.44dB; k=3, PSNR=17.54dB; k=1, PSNR=15.26dB; 
61895_2019.jpg : k=30, PSNR=35.80dB; k=10, PSNR=22.72dB; k=5, PSNR=19.73dB; k=3, PSNR=17.73dB; k=1, PSNR=15.51dB; 
61896_2019.jpg : k=30, PSNR=36.12dB; k=10, PSNR=23.56dB; k=5, PSNR=20.81dB; k=3, PSNR=18.85dB; k=1, PSNR=15.75dB; 
61897_2019.jpg : k=30, PSNR=38.35dB; k=10, PSNR=24.51dB; k=5, PSNR=20.81dB; k=3, PSNR=19.00dB; k=1, PSNR=15.69dB; 
61898_2019.jpg : k=30, PSNR=34.35dB; k=10, PSNR=22.35dB; k=5, PSNR=19.70dB; k=3, PSNR=18.31dB; k=1, PSNR=15.46dB; 
61899_2019.jpg : k=30, PSNR=40.15dB; k=10, PSNR=26.16dB; k=5, PSNR=22.48dB; k=3, PSNR=21.02dB; k=1, PSNR=19.16dB; 
61900_2019.jpg : k=30, PSNR=34.30dB; k=10, PSNR=22.62dB; k=5, PSNR=19.59dB; k=3, PSNR=17.85dB; k=1, PSNR=15.01dB; 
61901_2019.jpg : k=30, PSNR=41.99dB; k=10, PSNR=26.48dB; k=5, PSNR=22.74dB; k=3, PSNR=20.87dB; k=1, PSNR=18.36dB; 
61902_2019.jpg : k=30, PSNR=36.85dB; k=10, PSNR=23.43dB; k=5, PSNR=20.50dB; k=3, PSNR=18.68dB; k=1, PSNR=15.82dB; 
61903_2019.jpg : k=30, PSNR=34.72dB; k=10, PSNR=23.76dB; k=5, PSNR=21.07dB; k=3, PSNR=19.64dB; k=1, PSNR=17.91dB; 
61904_2019.jpg : k=30, PSNR=33.60dB; k=10, PSNR=21.27dB; k=5, PSNR=18.12dB; k=3, PSNR=16.03dB; k=1, PSNR=13.71dB; 
61905_2019.jpg : k=30, PSNR=34.30dB; k=10, PSNR=22.25dB; k=5, PSNR=19.29dB; k=3, PSNR=17.92dB; k=1, PSNR=16.34dB; 
61906_2019.jpg : k=30, PSNR=35.51dB; k=10, PSNR=22.58dB; k=5, PSNR=19.22dB; k=3, PSNR=17.29dB; k=1, PSNR=14.93dB; 
61907_2019.jpg : k=30, PSNR=36.41dB; k=10, PSNR=24.84dB; k=5, PSNR=21.76dB; k=3, PSNR=19.88dB; k=1, PSNR=16.31dB; 
61908_2019.jpg : k=30, PSNR=44.26dB; k=10, PSNR=26.90dB; k=5, PSNR=22.93dB; k=3, PSNR=20.97dB; k=1, PSNR=17.43dB; 
61909_2019.jpg : k=30, PSNR=31.43dB; k=10, PSNR=19.99dB; k=5, PSNR=17.47dB; k=3, PSNR=16.31dB; k=1, PSNR=14.61dB; 
